,파일명,한국어
0,KETI_SL_RES_0000000129.MOV,조금만 기다리시면 당신을 도와줄 사람들이 도착할 겁니다
1,KETI_SL_RES_0000000128.MOV,최대한 빨리 출동하도록 하겠습니다
2,KETI_SL_RES_0000000127.MOV,지금 사람들이 가고 있어요
3,KETI_SL_RES_0000000126.MOV,금방 구급대원들이 도착할테니 잠시만 기다리세요
4,KETI_SL_RES_0000000125.MOV,금방 119 아저씨들이 올거예요
5,KETI_SL_RES_0000000124.MOV,구급차가 곧 갈거니까 잠시만 기다리세요
6,KETI_SL_RES_0000000123.MOV,소방차가 곧 갈거니까 잠시만 기다리세요
7,KETI_SL_RES_0000000122.MOV,경찰이 곧 갈거니까 잠시만 기다리세요
8,KETI_SL_RES_0000000121.MOV,금방 도움을 드리겠습니다
9,KETI_SL_RES_0000000120.MOV,도와줄 사람들을 금방 보내줄게요
10,KETI_SL_RES_0000000119.MOV,잠시만 기다려주세요
11,KETI_SL_RES_0000000118.MOV,일단 가서 말려주세요
12,KETI_SL_RES_0000000117.MOV,일단 사람이 많은 곳으로 이동하신 다음에 주변을 확인해주세요
13,KETI_SL_RES_0000000116.MOV,일단 대피하시고 잠시만 기다려주세요
14,KETI_SL_RES_0000000115.MOV,주변에 가까이 가지 마시고 경찰이 올 때까지 기다리세요
15,KETI_SL_RES_0000000114.MOV,갑판에서 구조를 기다려주세요
16,KETI_SL_RES_0000000113.MOV,선실 밖으로 나가서 구조를 요청하세요
17,KETI_SL_RES_0000000112.MOV,당황하지 마시고 큰 길로 나가세요
18,KETI_SL_RES_0000000111.MOV,CPR을 시작해주세요
19,KETI_SL_RES_0000000110.MOV,숨이 멈추면 저한테 이야기 해 주세요
20,KETI_SL_RES_0000000109.MOV,가슴을 계속 누르고 있으세요
21,KETI_SL_RES_0000000108.MOV,조금만 진정하세요
22,KETI_SL_RES_0000000107.MOV,숨을 수 있는 곳으로 도망치세요
23,KETI_SL_RES_0000000106.MOV,잠시만 주변에 숨어계세요
24,KETI_SL_RES_0000000105.MOV,환자 옆에 계속 있어주겠어요?
25,KETI_SL_RES_0000000104.MOV,혹시 저희가 출동하는 동안 상황을 지켜봐주실 수 있나요?
26,KETI_SL_RES_0000000103.MOV,그분들이 도착할 때까지 전화 끊으면 안돼요
27,KETI_SL_RES_0000000102.MOV,전화 끊지 말고 잠시만 기다리세요.
28,KETI_SL_RES_0000000101.MOV,저희가 도착할 때까지 계속 통화할 수 있나요?
29,KETI_SL_RES_0000000100.MOV,환자가 쓰러지신지 얼마나 되셨죠?
30,KETI_SL_RES_0000000099.MOV,산모의 상태는 어떤가요?
31,KETI_SL_RES_0000000098.MOV,환자가 대화가 가능한가요?
32,KETI_SL_RES_0000000097.MOV,어떻게 죽었다는거죠?
